record_id,run_id,action_ap_round,raw_ap_at_action_round,teacher_policy,teacher_model,label_kind,source_csv,source_sha256,n_clients,max_cpu,second_highest_cpu,cpu_spread,frac_non_iid,frac_new_data,has_delay_clients,workload,prev_cs,prev_mc,prev_hdh,rs_cs_on,rs_mc_on,rs_hdh_on,round_idx,rounds_remaining,val_f1,total_round_time,train_mean,train_min,train_max,comm_mean,comm_min,comm_max,jsd,f1_over_time,comm_frac,d_f1,d_total_time,d_train_mean,d_comm_mean,d_jsd,f1_mean,f1_last3,f1_last5,f1_slope,traintime_mean,traintime_last3,traintime_last5,traintime_slope,commtime_mean,commtime_last3,commtime_last5,commtime_slope,totaltime_mean,totaltime_last3,totaltime_last5,totaltime_slope,y_cs_applied,y_mc_applied,y_hdh_applied
r1_d1,fashionmnist__cnn16k/few-shot deepseek/r1,2,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,1,9,,,,,,,,,,,,,,,,,0.7125,0.7125,0.7125,0.0,32.358,33.17666666666667,32.358,4.762500000000001,33.45,47.056666666666665,33.45,4.0275,95.89,95.89,95.89,0.0,OFF,OFF,OFF
r1_d2,fashionmnist__cnn16k/few-shot deepseek/r1,3,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,2,8,0.7125,95.89,32.358,17.35,63.96,33.45,12.97,60.12,0.0,0.007430388987381375,0.3488372093023256,,,,,,0.7125,0.7125,0.7125,0.0,32.358,33.17666666666667,32.358,4.762500000000001,33.45,47.056666666666665,33.45,4.0275,95.89,95.89,95.89,0.0,OFF,OFF,OFF
r1_d3,fashionmnist__cnn16k/few-shot deepseek/r1,4,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,3,7,0.7804,112.07,50.378,32.19,80.66,28.618000000000002,12.8,47.7,0.0,0.006963504952261979,0.2553582582314625,0.06789999999999996,16.179999999999993,18.020000000000003,-4.832000000000001,0.0,0.7464500000000001,0.7464500000000001,0.7464500000000001,0.06789999999999996,41.367999999999995,49.696666666666665,50.378,3.9722222222222223,31.034,39.160000000000004,28.618000000000002,1.732222222222222,103.97999999999999,103.97999999999999,103.97999999999999,16.179999999999993,OFF,OFF,OFF
r1_d4,fashionmnist__cnn16k/few-shot deepseek/r1,5,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,4,6,0.7829,130.71,70.252,49.4,100.09,22.997999999999998,13.33,37.87,0.0,0.005989595287277178,0.17594675235253612,0.0025000000000000577,18.640000000000015,19.873999999999995,-5.6200000000000045,0.0,0.7586,0.7586,0.7586,0.03520000000000001,50.995999999999995,68.42333333333333,70.252,3.9414285714285717,28.35533333333333,28.75333333333333,22.997999999999998,1.070714285714286,112.88999999999999,112.88999999999999,112.88999999999999,17.410000000000004,OFF,OFF,OFF
r1_d5,fashionmnist__cnn16k/few-shot deepseek/r1,6,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,5,5,0.7956,146.9,84.968,63.71,116.36,32.086,13.27,64.89,0.0,0.005415929203539823,0.21842069434989786,0.012699999999999934,16.189999999999998,14.716000000000008,9.088000000000001,0.0,0.76785,0.7862999999999999,0.76785,0.027699999999999985,59.489,84.71333333333332,84.968,3.7605263157894737,29.288,40.663333333333334,32.086,0.7836842105263159,121.39249999999998,129.89333333333335,121.39249999999998,17.003333333333334,OFF,OFF,OFF
r1_d6,fashionmnist__cnn16k/few-shot deepseek/r1,7,"{OFF,OFF,ON,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,6,4,0.8111,172.67,110.63200000000002,89.64,142.46,35.154,13.91,66.33,0.0,0.0046973996640991495,0.20359066427289052,0.01550000000000007,25.769999999999982,25.664000000000016,3.068000000000005,0.0,0.7765000000000001,0.7965333333333334,0.7765000000000001,0.024650000000000005,69.7176,111.18333333333332,110.63200000000002,4.064583333333334,30.461200000000005,44.22,35.154,0.6083333333333334,131.64799999999997,150.09333333333333,131.64799999999997,19.194999999999997,OFF,ON,OFF
r1_d7,fashionmnist__cnn16k/few-shot deepseek/r1,8,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,ON,OFF,,0,,7,3,0.8092,183.41,121.232,98.37,155.67,38.068,13.11,62.77,0.0,0.0044119731748541524,0.20755683986696472,-0.0019000000000000128,10.740000000000009,10.59999999999998,2.9139999999999944,0.0,0.78195,0.8053,0.79584,0.019340000000000003,78.30333333333333,117.99333333333334,121.232,3.819310344827586,31.729,48.47666666666667,38.068,0.410344827586207,140.27499999999998,167.66,149.152,17.503999999999998,OFF,OFF,OFF
r1_d8,fashionmnist__cnn16k/few-shot deepseek/r1,9,"{OFF,OFF,ON,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,1,,8,2,0.8197,220.74,146.35399999999998,126.13,174.21,38.032,16.77,66.04,0.0,0.003713418501404367,0.17229319561475037,0.010499999999999954,37.33000000000001,25.121999999999986,-0.036000000000001364,0.0,0.7873428571428571,0.8133333333333334,0.8037000000000001,0.01786666666666666,88.02485714285714,146.52,146.35399999999998,3.8029411764705885,32.62942857142856,44.61333333333334,38.032,0.4108823529411764,151.76999999999998,192.2733333333333,170.886,20.808333333333334,OFF,ON,OFF
r1_d9,fashionmnist__cnn16k/few-shot deepseek/r1,10,"{OFF,OFF,ON,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r1.csv,22792a2d3e389921cf848cd0d099225e7bcd602a7ae7391752670a03c22d57c5,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,ON,OFF,,0,,9,1,0.8313,233.5,162.15,148.09,180.75,46.26,21.15,74.57,0.0,0.0035601713062098504,0.1981156316916488,0.011600000000000055,12.759999999999991,15.79600000000002,8.228000000000002,0.0,0.7928375,0.8200666666666666,0.8133800000000001,0.016971428571428575,97.29050000000001,160.63666666666668,162.15,3.4366666666666665,34.33325,57.17333333333334,46.26,0.4433333333333333,161.98624999999998,212.54999999999998,191.44400000000002,19.65857142857143,OFF,ON,OFF
r2_d1,fashionmnist__cnn16k/few-shot deepseek/r2,2,"{OFF,OFF,OFF,OFF,OFF,OFF}",Single AI-Agent (Few-Shot),deepseek-r1:8b,direct_archived_behavior,agentic-paper-archive/fashionmnist__cnn16k/few-shot-deepseek/r2.csv,44efe653198b5c1f2fdbd734c85f220b55a58813b0ddd393be9b794a2bdc795f,5,5,5,2,0.6,0.6,ON,FashionMNIST__CNN_16k,OFF,OFF,OFF,,,,1,9,,,,,,,,,,,,,,,,,0.7259,0.7259,0.7259,0.0,30.918,31.833333333333332,30.918,5.432499999999999,21.940000000000005,28.679999999999996,21.940000000000005,4.095,96.31,96.31,96.31,0.0,OFF,OFF,OFF
